"Device","SiteId","Site","Status","IP Address","Availability","CPU/Memory","CPU AVG","Memory AVG","Tags","Vendor","Type","Version","Description"
"ir3crwcrt001",172,"Spring Hill VPS","Good","10.193.34.222","Good","Good","1","4","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3) Technical Support: http://www.cisco.com/techsupport Copyright (c) 1986-2018 by Cisco Systems, Inc. Compiled Sun 08-Jul-18 04:33 by mcpr"
"ir3crwcrt002",172,"Spring Hill VPS","Good","10.193.34.223","Good","Good","1","4","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3) Technical Support: http://www.cisco.com/techsupport Copyright (c) 1986-2018 by Cisco Systems, Inc. Compiled Sun 08-Jul-18 04:33 by mcpr"
"sshcrwcrt001",1,"spring Hill Assembly","Good","10.193.20.30","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3) Technical Support: http://www.cisco.com/techsupport Copyright (c) 1986-2018 by Cisco Systems, Inc. Compiled Sun 08-Jul-18 04:33 by mcpr"
"sshcrwcrt002",1,"spring Hill Assembly","Good","10.193.20.31","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3) Technical Support: http://www.cisco.com/techsupport Copyright (c) 1986-2018 by Cisco Systems, Inc. Compiled Sun 08-Jul-18 04:33 by mcpr"
"sshcrwcrt003",1,"spring Hill Assembly","Good","10.193.20.56","Good","Good","42","37","","Viptela","Router","20.3.3","Viptela SNMP agent"
"sshcrwcrt004",1,"spring Hill Assembly","Good","10.193.20.57","Good","Good","25","37","","Viptela","Router","20.3.3","Viptela SNMP agent"
"taucrwcrt001",2,"GBS Manila - PHP","Good","10.193.192.30","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3) Technical Support: http://www.cisco.com/techsupport Copyright (c) 1986-2018 by Cisco Systems, Inc. Compiled Sun 08-Jul-18 04:33 by mcpr"
"taucrwcrt002",2,"GBS Manila - PHP","Good","10.193.192.31","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3) Technical Support: http://www.cisco.com/techsupport Copyright (c) 1986-2018 by Cisco Systems, Inc. Compiled Sun 08-Jul-18 04:33 by mcpr"
"taucrwcrt003",2,"GBS Manila - PHP","Good","10.193.192.56","Good","Good","15","43","","Viptela","Router","20.3.3","Viptela SNMP agent"
"taucrwcrt004",2,"GBS Manila - PHP","Good","10.193.192.57","Good","Good","13","42","","Viptela","Router","20.3.3","Viptela SNMP agent"